14457	BS
10639	BS
5055	EC
16440	BS
22124	EC
16580	SA
24033	BS
12762	EC
2229	BS
30944	KP
21216	BS
16007	BS
20599	SA
26763	BS
22945	SA
13217	SA
1123	EC
31703	BS
30385	BS
11295	SA
35169	BS
16079	BS
17827	SA
2374	KP
13362	SA
16110	SA
12432	BS
34927	BS
27108	EC
1702	BS
19655	SA
35824	BS
12916	KP
33878	EC
14788	KP
11633	EC
17360	EC
10634	SA
814	EC
33632	SA
18360	EC
8433	SA
2706	EC
10864	BS
14682	EC
35150	BS
12242	BS
16060	BS
7239	SA
18624	SA
13488	KP
1394	KP
10273	EC
15780	BS
14480	BS
18548	EC
32293	BS
11294	BS
10703	BS
16122	SA
16262	EC
12444	BS
20206	EC
12207	SA
21671	KP
23580	KP
10074	EC
31648	EC
14467	BS
19603	SA
15925	BS
35235	KP
2010	SA
16145	SA
10418	EC
16051	EC
9473	EC
5655	SA
3746	BS
26402	BS
14188	EC
15506	EC
12279	EC
25698	EC
24592	EC
35312	KP
30176	EC
11086	EC
1094	EC
10570	BS
14638	SA
8776	EC
25705	EC
10336	SA
14154	BS
25812	KP
23366	BS
19045	KP
35214	BS
27761	EC
16124	BS
12306	BS
23678	EC
11200	SA
6884	KP
25722	BS
33261	SA
27967	BS
16080	EC
14171	BS
21876	EC
12048	BS
11701	EC
22623	BS
12178	BS
22959	SA
24868	SA
11072	BS
20899	BS
16578	SA
11017	SA
15171	BS
17447	BS
32859	EC
13769	BS
3293	KP
10860	BS
16837	BS
13285	SA
18444	EC
11399	BS
24972	EC
11426	KP
29843	SA
10320	BS
7151	SA
1424	EC
32057	BS
25922	EC
4444	EC
10693	SA
26109	EC
26295	BS
24386	BS
5760	KP
23280	SA
17004	EC
10515	KP
16609	EC
13057	BS
23824	SA
26785	BS
17057	EC
17780	KP
17218	BS
10245	BS
20004	EC
24348	SA
20280	SA
16895	SA
1740	EC
33327	EC
23965	KP
33227	KP
14137	KP
12905	BS
30761	BS
2195	SA
31121	KP
25827	EC
10122	KP
27832	EC
25923	SA
5396	BS
20416	EC
2471	SA
17924	KP
17486	BS
13668	EC
23969	SA
8896	EC
210	KP
34034	EC
